Semana,Prenda,Unidades
26,BUSOS,19
26,CAMIBUSOS,42
26,CAMISAS,146
26,CAMISETAS,97
26,CHAQUETAS,10
26,CORREAS,9
26,JEANS,438
26,JOGGER,66
26,PANTALON COLOR,176
26,POLOS,102
26,SHORT,9
26,TAPABOCAS,6
26,VESTIDOS,4
27,BERMUDA,4
27,BLUSAS,40
27,BUSOS,14
27,CAMIBUSOS,24
27,CAMISAS,80
27,CAMISETAS,94
27,CHAQUETAS,13
27,CORREAS,7
27,JEANS,383
27,JOGGER,53
27,PANTALON COLOR,130
27,POLOS,52
27,SHORT,2
27,TAPABOCAS,12
27,VESTIDOS,5
28,BERMUDA,7
28,BLUSAS,46
28,BUSOS,10
28,CAMIBUSOS,17
28,CAMISAS,81
28,CAMISETAS,62
28,CHAQUETAS,8
28,CORREAS,7
28,JEANS,326
28,JOGGER,46
28,PANTALON COLOR,150
28,POLOS,30
28,SHORT,9
28,TAPABOCAS,8
28,VESTIDOS,4
29,BERMUDA,11
29,BLUSAS,33
29,BUSOS,10
29,CAMIBUSOS,11
29,CAMISAS,58
29,CAMISETAS,51
29,CHAQUETAS,6
29,CORREAS,2
29,JEANS,272
29,JOGGER,44
29,PANTALON COLOR,98
29,POLOS,25
29,SHORT,6
29,TAPABOCAS,4
29,VESTIDOS,3
30,BERMUDA,3
30,BLUSAS,38
30,BUSOS,5
30,CAMIBUSOS,13
30,CAMISAS,54
30,CAMISETAS,48
30,CHAQUETAS,6
30,CORREAS,4
30,JEANS,247
30,JOGGER,32
30,PANTALON COLOR,76
30,POLOS,28
30,SHORT,7
30,TAPABOCAS,5
30,VESTIDOS,4
31,BERMUDA,5
31,BLUSAS,39
31,BUSOS,7
31,CAMIBUSOS,14
31,CAMISAS,64
31,CAMISETAS,63
31,CHAQUETAS,8
31,CORREAS,3
31,JEANS,283
31,JOGGER,36
31,PANTALON COLOR,97
31,POLOS,33
31,SHORT,7
31,TAPABOCAS,4
31,VESTIDOS,2
32,BERMUDA,10
32,BLUSAS,51
32,BUSOS,5
32,CAMIBUSOS,14
32,CAMISAS,60
32,CAMISETAS,68
32,CHAQUETAS,3
32,CORREAS,1
32,JEANS,308
32,JOGGER,29
32,PANTALON COLOR,113
32,POLOS,40
32,SHORT,6
32,TAPABOCAS,8
32,VESTIDOS,4
33,BERMUDA,4
33,BLUSAS,40
33,BUSOS,5
33,CAMIBUSOS,14
33,CAMISAS,58
33,CAMISETAS,71
33,CHAQUETAS,5
33,CORREAS,5
33,JEANS,257
33,JOGGER,26
33,PANTALON COLOR,99
33,POLOS,41
33,SHORT,2
33,TAPABOCAS,3
33,VESTIDOS,3
34,BERMUDA,4
34,BLUSAS,38
34,BUSOS,8
34,CAMIBUSOS,17
34,CAMISAS,53
34,CAMISETAS,73
34,CHAQUETAS,7
34,CORREAS,2
34,JEANS,288
34,JOGGER,29
34,PANTALON COLOR,92
34,POLOS,35
34,SHORT,2
34,TAPABOCAS,5
34,VESTIDOS,5
35,BERMUDA,5
35,BLUSAS,39
35,BUSOS,9
35,CAMIBUSOS,10
35,CAMISAS,52
35,CAMISETAS,57
35,CHAQUETAS,6
35,CORREAS,1
35,JEANS,270
35,JOGGER,29
35,PANTALON COLOR,92
35,POLOS,25
35,SHORT,1
35,TAPABOCAS,4
35,VESTIDOS,1
36,BERMUDA,4
36,BLUSAS,55
36,BUSOS,8
36,CAMIBUSOS,22
36,CAMISAS,96
36,CAMISETAS,71
36,CHAQUETAS,6
36,CORREAS,3
36,JEANS,356
36,JOGGER,36
36,PANTALON COLOR,141
36,POLOS,53
36,SHORT,1
36,TAPABOCAS,6
36,VESTIDOS,3
37,BERMUDA,5
37,BLUSAS,56
37,BUSOS,8
37,CAMIBUSOS,16
37,CAMISAS,83
37,CAMISETAS,76
37,CHAQUETAS,10
37,CORREAS,4
37,JEANS,374
37,JOGGER,43
37,PANTALON COLOR,133
37,POLOS,49
37,TAPABOCAS,5
37,VESTIDOS,5
38,BERMUDA,7
38,BLUSAS,58
38,BUSOS,14
38,CAMIBUSOS,22
38,CAMISAS,85
38,CAMISETAS,101
38,CHAQUETAS,13
38,CORREAS,4
