Date,UNIDADES
29/10/2021,7
28/10/2021,23
24/10/2021,11
26/10/2021,4
01/11/2021,9
03/11/2021,5
31/10/2021,7
04/11/2021,12
06/11/2021,12
05/11/2021,5
02/11/2021,5
13/11/2021,6
07/11/2021,17
08/11/2021,1
11/11/2021,9
09/11/2021,7
12/11/2021,6
10/11/2021,11
19/11/2021,33
16/11/2021,2
20/11/2021,10
14/11/2021,9
17/11/2021,6
15/11/2021,19
18/11/2021,2
23/11/2021,9
26/11/2021,20
24/11/2021,6
21/11/2021,9
27/11/2021,17
25/11/2021,18
22/11/2021,5
04/12/2021,22
28/11/2021,18
29/11/2021,10
02/12/2021,11
03/12/2021,55
30/11/2021,12
01/12/2021,9
10/12/2021,24
07/12/2021,10
05/12/2021,24
11/12/2021,44
08/12/2021,37
09/12/2021,20
06/12/2021,17
18/12/2021,38
15/12/2021,25
12/12/2021,25
17/12/2021,36
13/12/2021,11
16/12/2021,34
14/12/2021,31
20/12/2021,21
23/12/2021,43
24/12/2021,51
25/12/2021,5
19/12/2021,39
22/12/2021,73
21/12/2021,47
28/12/2021,21
31/12/2021,22
26/12/2021,18
30/12/2021,33
27/12/2021,18
29/12/2021,21
12/01/2022,5
14/01/2022,4
11/01/2022,3
15/01/2022,12
10/01/2022,8
13/01/2022,5
17/01/2022,4
22/01/2022,11
16/01/2022,2
19/01/2022,8
18/01/2022,10
20/01/2022,3
21/01/2022,3
24/01/2022,13
27/01/2022,6
25/01/2022,8
28/01/2022,14
26/01/2022,7
23/01/2022,11
29/01/2022,8
01/02/2022,11
04/02/2022,15
02/02/2022,7
30/01/2022,5
05/02/2022,20
03/02/2022,9
31/01/2022,3
09/02/2022,6
12/02/2022,4
11/02/2022,4
06/02/2022,7
08/02/2022,6
10/02/2022,14
07/02/2022,10
17/02/2022,8
14/02/2022,4
13/02/2022,14
15/02/2022,3
18/02/2022,1
19/02/2022,17
16/02/2022,5
25/02/2022,10
22/02/2022,3
23/02/2022,5
26/02/2022,9
20/02/2022,6
24/02/2022,7
21/02/2022,2
05/03/2022,8
02/03/2022,4
27/02/2022,8
01/03/2022,15
04/03/2022,3
28/02/2022,4
03/03/2022,5
12/03/2022,15
07/03/2022,3
10/03/2022,7
11/03/2022,17
