SEMANA,ANO,PRENDA,UNIDADES
45,2020,CAMISAS,88
45,2020,BERMUDA,12
45,2020,POLOS,41
45,2020,BLUSAS,49
45,2020,CORREAS,6
45,2020,PANTALON COLOR,185
45,2020,JEANS,422
45,2020,CAMISETAS,45
45,2020,VESTIDOS,1
45,2020,BUSOS,2
45,2020,CAMIBUSOS,14
45,2020,JOGGER,46
45,2020,CHAQUETAS,11
46,2020,BLUSAS,61
46,2020,JOGGER,35
46,2020,VESTIDOS,5
46,2020,TAPABOCAS,1
46,2020,CORREAS,1
46,2020,CHAQUETAS,8
46,2020,CAMISAS,103
46,2020,BERMUDA,3
46,2020,JEANS,482
46,2020,PANTALON COLOR,187
46,2020,CAMISETAS,58
46,2020,BUSOS,4
46,2020,POLOS,36
46,2020,CAMIBUSOS,20
47,2020,JOGGER,95
47,2020,VESTIDOS,2
47,2020,TAPABOCAS,2
47,2020,CORREAS,3
47,2020,CHAQUETAS,8
47,2020,PANTALON COLOR,221
47,2020,BERMUDA,12
47,2020,BLUSAS,57
47,2020,CAMIBUSOS,10
47,2020,CAMISETAS,76
47,2020,BUSOS,8
47,2020,JEANS,658
47,2020,POLOS,63
47,2020,CAMISAS,125
48,2020,CAMIBUSOS,13
48,2020,TAPABOCAS,11
48,2020,VESTIDOS,3
48,2020,CHAQUETAS,9
48,2020,BLUSAS,88
48,2020,BERMUDA,8
48,2020,BUSOS,6
48,2020,CAMISETAS,99
48,2020,JOGGER,70
48,2020,PANTALON COLOR,291
48,2020,POLOS,71
48,2020,CORREAS,2
48,2020,CAMISAS,164
48,2020,JEANS,826
49,2020,CAMIBUSOS,39
49,2020,PANTALON COLOR,358
49,2020,VESTIDOS,7
49,2020,JEANS,1046
49,2020,TAPABOCAS,17
49,2020,CHAQUETAS,9
49,2020,CORREAS,1
49,2020,JOGGER,94
49,2020,BLUSAS,90
49,2020,BERMUDA,18
49,2020,BUSOS,8
49,2020,POLOS,94
49,2020,CAMISETAS,113
49,2020,CAMISAS,239
50,2020,PANTALON COLOR,514
50,2020,BUSOS,11
50,2020,JEANS,1297
50,2020,CORREAS,3
50,2020,TAPABOCAS,16
50,2020,CAMISETAS,125
50,2020,CAMISAS,300
50,2020,POLOS,142
50,2020,BLUSAS,138
50,2020,VESTIDOS,4
50,2020,CAMIBUSOS,24
50,2020,JOGGER,120
50,2020,CHAQUETAS,21
50,2020,BERMUDA,7
51,2020,PANTALON COLOR,669
51,2020,POLOS,204
51,2020,BLUSAS,163
51,2020,BUSOS,18
51,2020,JOGGER,155
51,2020,CAMISETAS,248
51,2020,CAMISAS,382
51,2020,CORREAS,1
51,2020,TAPABOCAS,19
51,2020,CHAQUETAS,19
51,2020,JEANS,1523
51,2020,VESTIDOS,10
51,2020,CAMIBUSOS,43
52,2020,CAMIBUSOS,37
52,2020,JOGGER,177
52,2020,CHAQUETAS,12
52,2020,BLUSAS,210
52,2020,VESTIDOS,8
52,2020,TAPABOCAS,18
52,2020,JEANS,1621
52,2020,CORREAS,11
52,2020,CAMISAS,418
52,2020,BUSOS,23
52,2020,CAMISETAS,285
52,2020,POLOS,243
52,2020,PANTALON COLOR,649
53,2020,JOGGER,73
53,2020,JEANS,694
53,2020,CORREAS,2
53,2020,TAPABOCAS,8
53,2020,CHAQUETAS,2
53,2020,VESTIDOS,4
53,2020,CAMIBUSOS,23
53,2020,POLOS,82
53,2020,PANTALON COLOR,290
53,2020,CAMISETAS,88
53,2020,BUSOS,14
53,2020,BLUSAS,106
53,2020,CAMISAS,173
2,2021,BUSOS,10
2,2021,VESTIDOS,1
2,2021,PANTALON COLOR,146
2,2021,TAPABOCAS,16
2,2021,JEANS,322
2,2021,CAMISETAS,40
2,2021,POLOS,37
2,2021,CAMISAS,55
2,2021,BLUSAS,40
2,2021,JOGGER,29
2,2021,CAMIBUSOS,10
3,2021,CAMISAS,34
3,2021,POLOS,15
3,2021,CAMISETAS,27
3,2021,BLUSAS,23
3,2021,BUSOS,1
3,2021,PANTALON COLOR,87
3,2021,CORREAS,2
3,2021,TAPABOCAS,5
3,2021,CAMIBUSOS,5
3,2021,JOGGER,12
3,2021,JEANS,231
3,2021,CHAQUETAS,1
4,2021,BLUSAS,39
4,2021,CAMISAS,84
4,2021,JOGGER,28
4,2021,CHAQUETAS,10
4,2021,VESTIDOS,1
4,2021,TAPABOCAS,10
4,2021,CAMIBUSOS,7
4,2021,JEANS,272
4,2021,PANTALON COLOR,144
4,2021,BUSOS,2
4,2021,CAMISETAS,42
4,2021,POLOS,32
5,2021,JEANS,327
5,2021,VESTIDOS,1
5,2021,CAMIBUSOS,11
5,2021,CHAQUETAS,6
5,2021,TAPABOCAS,8
5,2021,JOGGER,23
5,2021,CAMISAS,95
5,2021,POLOS,42
5,2021,PANTALON COLOR,159
5,2021,BLUSAS,54
5,2021,BUSOS,3
5,2021,CAMISETAS,51
6,2021,JOGGER,26
6,2021,CORREAS,1
6,2021,POLOS,47
6,2021,CAMIBUSOS,7
6,2021,VESTIDOS,1
6,2021,TAPABOCAS,6
6,2021,JEANS,328
6,2021,BUSOS,4
6,2021,CAMISETAS,54
6,2021,PANTALON COLOR,165
6,2021,CAMISAS,89
6,2021,BLUSAS,49
6,2021,CHAQUETAS,6
7,2021,BLUSAS,47
7,2021,CAMISETAS,36
7,2021,POLOS,29
7,2021,PANTALON COLOR,128
7,2021,BUSOS,1
7,2021,CAMISAS,88
7,2021,CORREAS,4
7,2021,JEANS,314
7,2021,CHAQUETAS,5
7,2021,TAPABOCAS,5
7,2021,JOGGER,32
7,2021,CAMIBUSOS,14
8,2021,BLUSAS,52
8,2021,CHAQUETAS,6
8,2021,CAMISAS,116
8,2021,PANTALON COLOR,153
8,2021,JOGGER,26
8,2021,JEANS,336
8,2021,POLOS,54
8,2021,CORREAS,5
8,2021,CAMIBUSOS,11
8,2021,BUSOS,4
8,2021,TAPABOCAS,9
8,2021,CAMISETAS,60
9,2021,CORREAS,1
9,2021,JEANS,346
9,2021,CHAQUETAS,10
9,2021,JOGGER,37
9,2021,CAMIBUSOS,20
9,2021,TAPABOCAS,6
9,2021,VESTIDOS,1
9,2021,BUSOS,7
9,2021,BLUSAS,44
9,2021,CAMISETAS,52
9,2021,POLOS,58
9,2021,CAMISAS,90
9,2021,PANTALON COLOR,188
10,2021,PANTALON COLOR,191
10,2021,CAMIBUSOS,15
10,2021,JOGGER,39
10,2021,BUSOS,5
10,2021,CAMISETAS,58
10,2021,JEANS,338
10,2021,TAPABOCAS,6
10,2021,POLOS,48
10,2021,CAMISAS,87
10,2021,CORREAS,1
10,2021,CHAQUETAS,14
10,2021,BLUSAS,40
11,2021,CAMISAS,87
11,2021,BUSOS,1
11,2021,CAMISETAS,54
11,2021,PANTALON COLOR,185
11,2021,POLOS,47
11,2021,CAMIBUSOS,15
11,2021,VESTIDOS,2
11,2021,JOGGER,23
11,2021,TAPABOCAS,2
11,2021,CORREAS,6
11,2021,JEANS,342
11,2021,BLUSAS,58
11,2021,CHAQUETAS,10
12,2021,CHAQUETAS,6
12,2021,CAMISAS,85
12,2021,BLUSAS,40
12,2021,VESTIDOS,1
12,2021,CORREAS,2
12,2021,TAPABOCAS,2
12,2021,JEANS,333
12,2021,CAMISETAS,66
12,2021,PANTALON COLOR,145
12,2021,JOGGER,40
12,2021,CAMIBUSOS,16
12,2021,POLOS,51
12,2021,BUSOS,6
13,2021,VESTIDOS,1
13,2021,CORREAS,3
13,2021,CAMIBUSOS,11
13,2021,BLUSAS,48
13,2021,TAPABOCAS,5
13,2021,JOGGER,37
13,2021,CHAQUETAS,6
13,2021,POLOS,33
13,2021,CAMISAS,72
13,2021,BERMUDA,1
13,2021,BUSOS,5
13,2021,CAMISETAS,47
13,2021,JEANS,347
13,2021,PANTALON COLOR,162
14,2021,TAPABOCAS,2
14,2021,CORREAS,3
14,2021,VESTIDOS,1
14,2021,POLOS,27
14,2021,CAMIBUSOS,4
14,2021,JOGGER,33
14,2021,JEANS,297
14,2021,BUSOS,10
14,2021,PANTALON COLOR,94
14,2021,BLUSAS,76
14,2021,CHAQUETAS,3
14,2021,CAMISETAS,57
14,2021,CAMISAS,80
14,2021,BERMUDA,2
15,2021,PANTALON COLOR,50
15,2021,JEANS,137
15,2021,CORREAS,2
15,2021,POLOS,15
15,2021,CAMISAS,36
15,2021,CAMISETAS,25
15,2021,BUSOS,3
15,2021,JOGGER,12
15,2021,VESTIDOS,3
15,2021,CHAQUETAS,4
15,2021,BLUSAS,24
15,2021,BERMUDA,1
15,2021,CAMIBUSOS,4
16,2021,CAMISETAS,16
16,2021,JEANS,131
16,2021,CAMISAS,26
16,2021,CORREAS,2
16,2021,POLOS,13
16,2021,CHAQUETAS,1
16,2021,BLUSAS,21
16,2021,PANTALON COLOR,41
16,2021,CAMIBUSOS,6
16,2021,JOGGER,9
17,2021,BLUSAS,17
17,2021,CAMISAS,23
17,2021,BERMUDA,5
17,2021,BUSOS,2
17,2021,CAMISETAS,31
17,2021,POLOS,21
17,2021,CHAQUETAS,2
17,2021,PANTALON COLOR,55
17,2021,JEANS,166
17,2021,CAMIBUSOS,7
17,2021,JOGGER,20
18,2021,BLUSAS,29
18,2021,JOGGER,14
18,2021,VESTIDOS,1
18,2021,CHAQUETAS,1
18,2021,CAMIBUSOS,7
18,2021,CAMISETAS,49
18,2021,PANTALON COLOR,58
18,2021,CAMISAS,39
18,2021,POLOS,19
18,2021,CORREAS,2
18,2021,JEANS,138
19,2021,CORREAS,2
19,2021,CAMIBUSOS,10
19,2021,JOGGER,20
19,2021,JEANS,229
19,2021,CHAQUETAS,1
19,2021,BLUSAS,56
19,2021,BERMUDA,4
19,2021,BUSOS,5
19,2021,POLOS,20
19,2021,CAMISETAS,58
19,2021,CAMISAS,42
19,2021,PANTALON COLOR,88
20,2021,CORREAS,2
20,2021,TAPABOCAS,2
20,2021,JEANS,435
20,2021,POLOS,65
20,2021,CAMISETAS,85
20,2021,BUSOS,3
20,2021,BLUSAS,95
20,2021,PANTALON COLOR,170
20,2021,BERMUDA,6
20,2021,JOGGER,24
20,2021,CAMISAS,85
20,2021,CAMIBUSOS,30
20,2021,CHAQUETAS,2
20,2021,VESTIDOS,3
21,2021,CAMISAS,73
21,2021,POLOS,66
21,2021,PANTALON COLOR,187
21,2021,BLUSAS,58
21,2021,CAMISETAS,74
21,2021,CORREAS,1
21,2021,BERMUDA,7
21,2021,BUSOS,9
21,2021,JOGGER,55
21,2021,JEANS,441
21,2021,TAPABOCAS,3
21,2021,CHAQUETAS,2
21,2021,CAMIBUSOS,14
22,2021,CAMISAS,80
22,2021,CHAQUETAS,3
22,2021,BERMUDA,3
22,2021,CAMIBUSOS,21
22,2021,POLOS,48
22,2021,JOGGER,33
22,2021,BLUSAS,58
22,2021,VESTIDOS,2
22,2021,JEANS,431
22,2021,TAPABOCAS,3
22,2021,CAMISETAS,106
22,2021,PANTALON COLOR,196
22,2021,BUSOS,1
23,2021,TAPABOCAS,4
23,2021,CAMIBUSOS,19
23,2021,JEANS,489
23,2021,CORREAS,5
23,2021,JOGGER,59
23,2021,CHAQUETAS,3
23,2021,CAMISETAS,95
23,2021,BLUSAS,75
23,2021,BERMUDA,14
23,2021,PANTALON COLOR,205
23,2021,BUSOS,2
23,2021,CAMISAS,109
23,2021,POLOS,56
24,2021,PANTALON COLOR,219
24,2021,JEANS,619
24,2021,CAMIBUSOS,22
24,2021,CAMISETAS,124
24,2021,VESTIDOS,2
24,2021,POLOS,91
24,2021,TAPABOCAS,4
24,2021,CORREAS,2
24,2021,CAMISAS,122
24,2021,CHAQUETAS,3
24,2021,BERMUDA,7
24,2021,BLUSAS,44
24,2021,JOGGER,67
25,2021,BERMUDA,13
25,2021,BLUSAS,38
25,2021,CAMISETAS,161
25,2021,CAMISAS,269
25,2021,POLOS,210
25,2021,PANTALON COLOR,356
25,2021,CAMIBUSOS,102
25,2021,JEANS,948
25,2021,JOGGER,102
25,2021,CORREAS,5
25,2021,TAPABOCAS,6
25,2021,CHAQUETAS,5
25,2021,VESTIDOS,3
26,2021,BERMUDA,2
26,2021,CAMISAS,183
26,2021,BLUSAS,49
26,2021,CHAQUETAS,4
26,2021,CAMIBUSOS,59
26,2021,VESTIDOS,6
26,2021,TAPABOCAS,4
26,2021,JOGGER,62
26,2021,JEANS,576
26,2021,CORREAS,6
26,2021,PANTALON COLOR,230
26,2021,POLOS,105
26,2021,CAMISETAS,97
27,2021,CORREAS,5
27,2021,CAMIBUSOS,36
27,2021,JOGGER,60
27,2021,JEANS,500
27,2021,VESTIDOS,6
27,2021,TAPABOCAS,6
27,2021,CHAQUETAS,9
27,2021,BLUSAS,46
27,2021,CAMISAS,100
27,2021,PANTALON COLOR,181
27,2021,CAMISETAS,106
27,2021,POLOS,44
27,2021,BERMUDA,4
28,2021,JEANS,509
28,2021,CORREAS,6
28,2021,CAMIBUSOS,29
28,2021,TAPABOCAS,1
28,2021,VESTIDOS,6
28,2021,BUSOS,1
28,2021,JOGGER,44
28,2021,POLOS,38
28,2021,CAMISETAS,77
28,2021,BERMUDA,7
28,2021,PANTALON COLOR,198
28,2021,BLUSAS,55
28,2021,CAMISAS,129
28,2021,CHAQUETAS,3
29,2021,CAMISAS,98
29,2021,POLOS,43
29,2021,BERMUDA,11
29,2021,PANTALON COLOR,190
29,2021,BLUSAS,52
29,2021,CAMISETAS,68
29,2021,CORREAS,3
29,2021,CAMIBUSOS,17
29,2021,JEANS,466
29,2021,TAPABOCAS,2
29,2021,VESTIDOS,3
29,2021,JOGGER,43
29,2021,CHAQUETAS,3
30,2021,BLUSAS,63
30,2021,CAMISAS,82
30,2021,CHAQUETAS,7
30,2021,TAPABOCAS,8
30,2021,CORREAS,5
30,2021,JOGGER,44
30,2021,BERMUDA,3
30,2021,PANTALON COLOR,132
30,2021,CAMISETAS,62
30,2021,JEANS,428
30,2021,CAMIBUSOS,25
30,2021,POLOS,34
30,2021,VESTIDOS,4
31,2021,VESTIDOS,2
31,2021,CHAQUETAS,1
31,2021,TAPABOCAS,2
31,2021,CORREAS,3
31,2021,JOGGER,40
31,2021,JEANS,441
31,2021,BLUSAS,59
31,2021,CAMIBUSOS,28
31,2021,PANTALON COLOR,179
31,2021,BERMUDA,5
31,2021,CAMISETAS,60
31,2021,POLOS,38
31,2021,BUSOS,2
31,2021,CAMISAS,80
32,2021,BLUSAS,79
32,2021,BERMUDA,10
32,2021,VESTIDOS,4
32,2021,CAMIBUSOS,18
32,2021,CHAQUETAS,1
32,2021,JOGGER,34
32,2021,CAMISETAS,117
32,2021,CORREAS,1
32,2021,PANTALON COLOR,170
32,2021,CAMISAS,91
32,2021,BUSOS,1
32,2021,POLOS,57
32,2021,JEANS,482
33,2021,CAMIBUSOS,21
33,2021,PANTALON COLOR,140
33,2021,JEANS,383
33,2021,TAPABOCAS,1
33,2021,VESTIDOS,4
33,2021,POLOS,53
33,2021,CORREAS,5
33,2021,JOGGER,23
33,2021,BERMUDA,4
33,2021,BLUSAS,35
33,2021,BUSOS,4
33,2021,CHAQUETAS,1
33,2021,CAMISAS,87
33,2021,CAMISETAS,104
34,2021,BUSOS,9
34,2021,CORREAS,1
34,2021,POLOS,43
34,2021,PANTALON COLOR,132
34,2021,CAMISETAS,98
34,2021,CAMISAS,80
34,2021,JEANS,449
34,2021,TAPABOCAS,4
34,2021,VESTIDOS,6
34,2021,CAMIBUSOS,25
34,2021,CHAQUETAS,3
34,2021,BLUSAS,47
34,2021,BERMUDA,4
34,2021,JOGGER,28
35,2021,POLOS,32
35,2021,BLUSAS,54
35,2021,BERMUDA,5
35,2021,CAMISAS,89
35,2021,CAMISETAS,93
35,2021,PANTALON COLOR,149
35,2021,BUSOS,6
35,2021,CORREAS,1
35,2021,TAPABOCAS,2
35,2021,VESTIDOS,1
35,2021,CAMIBUSOS,20
35,2021,CHAQUETAS,3
35,2021,JOGGER,28
35,2021,JEANS,400
36,2021,JOGGER,37
36,2021,BERMUDA,6
36,2021,BLUSAS,72
36,2021,CORREAS,2
36,2021,PANTALON COLOR,166
36,2021,CHAQUETAS,5
36,2021,JEANS,406
36,2021,CAMIBUSOS,27
36,2021,VESTIDOS,3
36,2021,TAPABOCAS,3
36,2021,CAMISETAS,109
36,2021,POLOS,65
36,2021,CAMISAS,111
36,2021,BUSOS,2
37,2021,CORREAS,2
37,2021,JOGGER,36
37,2021,JEANS,404
37,2021,PANTALON COLOR,137
37,2021,CHAQUETAS,4
37,2021,POLOS,43
37,2021,VESTIDOS,6
37,2021,CAMIBUSOS,28
37,2021,TAPABOCAS,1
37,2021,CAMISETAS,97
37,2021,CAMISAS,109
37,2021,BLUSAS,69
37,2021,BUSOS,4
37,2021,BERMUDA,5
38,2021,JEANS,421
38,2021,POLOS,69
38,2021,CAMISETAS,123
38,2021,CORREAS,2
38,2021,CAMISAS,107
38,2021,BUSOS,5
38,2021,PANTALON COLOR,151
38,2021,BERMUDA,7
