SEMANA,TIENDA,PRENDA,UNIDADES
2,PUERTA DEL NTE,JEANS,236
2,PUERTA DEL NTE,JOGGER,30
2,PUERTA DEL NTE,PANTALON COLOR,126
2,PUERTA DEL NTE,POLOS,53
2,PUERTA DEL NTE,TAPABOCAS,17
2,PUERTA DEL NTE,VESTIDOS,1
2,RIONEGRO,BLUSAS,65
2,RIONEGRO,BUSOS,7
2,RIONEGRO,CAMIBUSOS,6
2,RIONEGRO,CAMISAS,70
2,RIONEGRO,CAMISETAS,61
2,RIONEGRO,CHAQUETAS,1
2,RIONEGRO,CORREAS,3
2,RIONEGRO,JEANS,372
2,RIONEGRO,JOGGER,52
2,RIONEGRO,PANTALON COLOR,165
2,RIONEGRO,POLOS,52
2,RIONEGRO,TAPABOCAS,10
2,RIONEGRO,VESTIDOS,3
2,TERMINAL DEL NORTE,BLUSAS,38
2,TERMINAL DEL NORTE,BUSOS,3
2,TERMINAL DEL NORTE,CAMIBUSOS,9
2,TERMINAL DEL NORTE,CAMISAS,50
2,TERMINAL DEL NORTE,CAMISETAS,49
2,TERMINAL DEL NORTE,CHAQUETAS,1
2,TERMINAL DEL NORTE,CORREAS,2
2,TERMINAL DEL NORTE,JEANS,183
2,TERMINAL DEL NORTE,JOGGER,22
2,TERMINAL DEL NORTE,PANTALON COLOR,86
2,TERMINAL DEL NORTE,POLOS,51
2,TERMINAL DEL NORTE,TAPABOCAS,10
2,TERMINAL DEL NORTE,VESTIDOS,1
2,VIVA ENVIGADO,BERMUDA,1
2,VIVA ENVIGADO,BLUSAS,36
2,VIVA ENVIGADO,BUSOS,4
2,VIVA ENVIGADO,CAMIBUSOS,4
2,VIVA ENVIGADO,CAMISAS,68
2,VIVA ENVIGADO,CAMISETAS,36
2,VIVA ENVIGADO,CHAQUETAS,4
2,VIVA ENVIGADO,CORREAS,2
2,VIVA ENVIGADO,JEANS,238
2,VIVA ENVIGADO,JOGGER,20
2,VIVA ENVIGADO,PANTALON COLOR,137
2,VIVA ENVIGADO,POLOS,39
2,VIVA ENVIGADO,TAPABOCAS,10
3,ARKADIA,BLUSAS,11
3,ARKADIA,BUSOS,2
3,ARKADIA,CAMIBUSOS,5
3,ARKADIA,CAMISAS,22
3,ARKADIA,CAMISETAS,16
3,ARKADIA,CORREAS,3
3,ARKADIA,JEANS,91
3,ARKADIA,JOGGER,10
3,ARKADIA,PANTALON COLOR,40
3,ARKADIA,POLOS,12
3,ARKADIA,TAPABOCAS,1
3,COMPRETEX ECOMMERCE,BERMUDA,4
3,COMPRETEX ECOMMERCE,BLUSAS,23
3,COMPRETEX ECOMMERCE,BUSOS,5
3,COMPRETEX ECOMMERCE,CAMIBUSOS,11
3,COMPRETEX ECOMMERCE,CAMISAS,33
3,COMPRETEX ECOMMERCE,CAMISETAS,23
3,COMPRETEX ECOMMERCE,CHAQUETAS,2
3,COMPRETEX ECOMMERCE,CORREAS,3
3,COMPRETEX ECOMMERCE,JEANS,165
3,COMPRETEX ECOMMERCE,JOGGER,14
3,COMPRETEX ECOMMERCE,PANTALON COLOR,24
3,COMPRETEX ECOMMERCE,POLOS,9
3,COMPRETEX ECOMMERCE,TAPABOCAS,7
3,COMPRETEX ECOMMERCE,VESTIDOS,1
3,GUAYABAL,BLUSAS,24
3,GUAYABAL,BUSOS,4
3,GUAYABAL,CAMIBUSOS,4
3,GUAYABAL,CAMISAS,29
3,GUAYABAL,CAMISETAS,27
3,GUAYABAL,CHAQUETAS,3
3,GUAYABAL,CORREAS,2
3,GUAYABAL,JEANS,153
3,GUAYABAL,JOGGER,11
3,GUAYABAL,PANTALON COLOR,74
3,GUAYABAL,POLOS,22
